texto,sentimiento,tokens,texto_procesado,prediccion_svm,prediccion_nb
premium calidad producto magnífico excepcional,positivo,"['premium', 'calid', 'product', 'magnif', 'excepcional']",premium calid product magnif excepcional,positivo,positivo
esperaba estrellas cinco exactamente perfecto,positivo,"['esper', 'estrell', 'cinc', 'exact', 'perfect']",esper estrell cinc exact perfect,positivo,positivo
terrible aquí compraré nunca más experiencia,negativo,"['terribl', 'aqu', 'compr', 'nunc', 'experient']",terribl aqu compr nunc experient,negativo,negativo
brillante diario solución uso problema perfecto,positivo,"['brillant', 'diari', 'solucion', 'uso', 'problem', 'perfect']",brillant diari solucion uso problem perfect,positivo,positivo
recomiendo sin duda buenísimo tiempo estado llegó perfecto,positivo,"['recom', 'dud', 'buenisim', 'tiemp', 'lleg', 'perfect']",recom dud buenisim tiemp lleg perfect,positivo,positivo
destacable cumple sin más descripción,neutro,"['destac', 'cumpl', 'descripcion']",destac cumpl descripcion,neutro,neutro
hecho mejor inversión recomiendo sensacional ampliamente,positivo,"['hech', 'mejor', 'inversion', 'recom', 'sensacional', 'ampli']",hech mejor inversion recom sensacional ampli,positivo,positivo
dinero recomiendo completamente tiempo no pérdida,negativo,"['diner', 'recom', 'complet', 'tiemp', 'perd']",diner recom complet tiemp perd,negativo,negativo
insatisfecho compra muy no propósito sirve,negativo,"['insatisfech', 'compr', 'proposit', 'sirv']",insatisfech compr proposit sirv,negativo,negativo
completamente impresionante ordinario corriente común nada,neutro,"['complet', 'impresion', 'ordinari', 'corrient', 'comun']",complet impresion ordinari corrient comun,neutro,neutro
precio producto totalmente bastante excelente recomiendo calidad,positivo,"['preci', 'product', 'total', 'bastant', 'excelent', 'recom', 'calid']",preci product total bastant excelent recom calid,positivo,positivo
construcción calidad fácil espantoso endeble rompe,negativo,"['construccion', 'calid', 'facil', 'espant', 'endebl', 'romp']",construccion calid facil espant endebl romp,negativo,negativo
solución diario perfecto realmente uso brillante problema,positivo,"['solucion', 'diari', 'perfect', 'realment', 'uso', 'brillant', 'problem']",solucion diari perfect realment uso brillant problem,positivo,positivo
no sirve insatisfecho compra bastante muy propósito,negativo,"['sirv', 'insatisfech', 'compr', 'bastant', 'proposit']",sirv insatisfech compr bastant proposit,negativo,negativo
mínimas cubre suficiente necesidades aceptable,neutro,"['minim', 'cubr', 'suficient', 'neces', 'acept']",minim cubr suficient neces acept,neutro,neutro
satisfecho comprar volveré definitivamente absolutamente tremendamente,positivo,"['satisfech', 'compr', 'volv', 'definit', 'absolut', 'tremend']",satisfech compr volv definit absolut tremend,positivo,positivo
defraudado rendimiento expectativas patético bajo,negativo,"['defraud', 'rendimient', 'expect', 'patet', 'baj']",defraud rendimient expect patet baj,negativo,negativo
frágil construcción baratos pobre sin duda materiales,negativo,"['fragil', 'construccion', 'barat', 'pobr', 'dud', 'material']",fragil construccion barat pobr dud material,negativo,negativo
sin funciona problemas decente particular,neutro,"['funcion', 'problem', 'decent', 'particul']",funcion problem decent particul,neutro,neutro
producto caro lamentable sobrevalorado mediocre,negativo,"['product', 'car', 'lament', 'sobrevalor', 'mediocr']",product car lament sobrevalor mediocr,negativo,negativo
razonable pagado precio correcto para,neutro,"['razon', 'pag', 'preci', 'correct']",razon pag preci correct,neutro,neutro
justo buscaba contento espectacular muy,positivo,"['just', 'busc', 'content', 'espectacul']",just busc content espectacul,positivo,positivo
está producto nada especial cumple bien,neutro,"['product', 'especial', 'cumpl', 'bien']",product especial cumpl bien,neutro,neutro
compra fantástico mejor año definitivamente volveré,positivo,"['compr', 'fantast', 'mejor', 'año', 'definit', 'volv']",compr fantast mejor año definit volv,positivo,positivo
definitivamente definitivamente satisfecho comprar volveré tremendamente,positivo,"['definit', 'definit', 'satisfech', 'compr', 'volv', 'tremend']",definit definit satisfech compr volv tremend,positivo,positivo
producto está completamente bien nada especial cumple,neutro,"['product', 'complet', 'bien', 'especial', 'cumpl']",product complet bien especial cumpl,neutro,neutro
más compraré aquí terrible absolutamente experiencia nunca,negativo,"['compr', 'aqu', 'terribl', 'absolut', 'experient', 'nunc']",compr aqu terribl absolut experient nunc,negativo,negativo
peor vida nefasto arrepentido compra,negativo,"['peor', 'vid', 'nefast', 'arrepent', 'compr']",peor vid nefast arrepent compr,negativo,negativo
básico simple funcional lujos ciertamente sin,neutro,"['basic', 'simpl', 'funcional', 'luj', 'ciert']",basic simpl funcional luj ciert,neutro,neutro
recomiendo no tiempo pérdida dinero,negativo,"['recom', 'tiemp', 'perd', 'diner']",recom tiemp perd diner,negativo,negativo
fantástico año volveré definitivamente mejor compra,positivo,"['fantast', 'año', 'volv', 'definit', 'mejor', 'compr']",fantast año volv definit mejor compr,positivo,positivo
duda sin opción sobresaliente mercado mejor,positivo,"['dud', 'opcion', 'sobresalient', 'merc', 'mejor']",dud opcion sobresalient merc mejor,positivo,positivo
peor arrepentido vida nefasto compra,negativo,"['peor', 'arrepent', 'vid', 'nefast', 'compr']",peor arrepent vid nefast compr,negativo,negativo
aquí definitivamente nunca terrible compraré experiencia más,negativo,"['aqu', 'definit', 'nunc', 'terribl', 'compr', 'experient']",aqu definit nunc terribl compr experient,negativo,negativo
experiencia nunca terrible más completamente aquí compraré,negativo,"['experient', 'nunc', 'terribl', 'complet', 'aqu', 'compr']",experient nunc terribl complet aqu compr,negativo,negativo
básico extraordinario nada adecuado propósito,neutro,"['basic', 'extraordinari', 'adecu', 'proposit']",basic extraordinari adecu proposit,neutro,neutro
bastante malas ok cosas tiene buenas está,neutro,"['bastant', 'mal', 'cos', 'buen']",bastant mal cos buen,neutro,neutro
sin duda opción sobresaliente mejor mercado,positivo,"['dud', 'opcion', 'sobresalient', 'mejor', 'merc']",dud opcion sobresalient mejor merc,positivo,positivo
construcción frágil totalmente baratos materiales pobre,negativo,"['construccion', 'fragil', 'total', 'barat', 'material', 'pobr']",construccion fragil total barat material pobr,negativo,negativo
completamente inicio desde mal funciona defectuoso malísimo,negativo,"['complet', 'inici', 'mal', 'funcion', 'defectu', 'malisim']",complet inici mal funcion defectu malisim,negativo,negativo
premium sin duda magnífico producto excepcional calidad,positivo,"['premium', 'dud', 'magnif', 'product', 'excepcional', 'calid']",premium dud magnif product excepcional calid,positivo,positivo
tremendamente volveré satisfecho comprar totalmente definitivamente,positivo,"['tremend', 'volv', 'satisfech', 'compr', 'total', 'definit']",tremend volv satisfech compr total definit,positivo,positivo
resistente duradero increíblemente bueno confiable,positivo,"['resistent', 'durader', 'increibl', 'buen', 'confiabl']",resistent durader increibl buen confiabl,positivo,positivo
justo buscaba contento espectacular muy,positivo,"['just', 'busc', 'content', 'espectacul']",just busc content espectacul,positivo,positivo
producto está bien nada especial cumple,neutro,"['product', 'bien', 'especial', 'cumpl']",product bien especial cumpl,neutro,neutro
funcional simple básico sin lujos,neutro,"['funcional', 'simpl', 'basic', 'luj']",funcional simpl basic luj,neutro,neutro
excelente construcción impresionante calidad durabilidad,positivo,"['excelent', 'construccion', 'impresion', 'calid', 'durabil']",excelent construccion impresion calid durabil,positivo,positivo
definitivamente evitar inseguro producto peligroso abominable,negativo,"['definit', 'evit', 'insegur', 'product', 'peligr', 'abomin']",definit evit insegur product peligr abomin,negativo,negativo
problema solución uso perfecto diario brillante,positivo,"['problem', 'solucion', 'uso', 'perfect', 'diari', 'brillant']",problem solucion uso perfect diari brillant,positivo,positivo
formidable cumple honesto vendedor promesas,positivo,"['formid', 'cumpl', 'honest', 'vendedor', 'promes']",formid cumpl honest vendedor promes,positivo,positivo
deplorable atención cliente ciertamente nulo servicio,negativo,"['deplor', 'atencion', 'client', 'ciert', 'nul', 'servici']",deplor atencion client ciert nul servici,negativo,negativo
realmente elegante práctico diseño fabuloso funcional,positivo,"['realment', 'eleg', 'practic', 'diseñ', 'fabul', 'funcional']",realment eleg practic diseñ fabul funcional,positivo,positivo
malas está ok buenas cosas tiene,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
realmente rápido increíble perfecto servicio bien empaquetado,positivo,"['realment', 'rap', 'increibl', 'perfect', 'servici', 'bien', 'empaquet']",realment rap increibl perfect servici bien empaquet,positivo,positivo
impresionante sin duda común nada corriente ordinario,neutro,"['impresion', 'dud', 'comun', 'corrient', 'ordinari']",impresion dud comun corrient ordinari,neutro,neutro
sobresaliente duda mercado ciertamente sin opción mejor,positivo,"['sobresalient', 'dud', 'merc', 'ciert', 'opcion', 'mejor']",sobresalient dud merc ciert opcion mejor,positivo,positivo
estado perfecto buenísimo recomiendo tiempo llegó,positivo,"['perfect', 'buenisim', 'recom', 'tiemp', 'lleg']",perfect buenisim recom tiemp lleg,positivo,positivo
buscaba espectacular muy justo definitivamente contento,positivo,"['busc', 'espectacul', 'just', 'definit', 'content']",busc espectacul just definit content,positivo,positivo
ni malo muy promedio ni bueno,neutro,"['mal', 'promedi', 'buen']",mal promedi buen,neutro,neutro
tiempo absolutamente recomiendo dinero pérdida no,negativo,"['tiemp', 'absolut', 'recom', 'diner', 'perd']",tiemp absolut recom diner perd,negativo,negativo
barata falsificado imitación producto fraudulento,negativo,"['barat', 'falsific', 'imit', 'product', 'fraudulent']",barat falsific imit product fraudulent,negativo,negativo
calidad estándar promedio mercado regular,neutro,"['calid', 'estand', 'promedi', 'merc', 'regul']",calid estand promedi merc regul,neutro,neutro
solución uso problema perfecto diario brillante,positivo,"['solucion', 'uso', 'problem', 'perfect', 'diari', 'brillant']",solucion uso problem perfect diari brillant,positivo,positivo
pésimo funciona hecho sin duda producto no mal,negativo,"['pesim', 'funcion', 'hech', 'dud', 'product', 'mal']",pesim funcion hech dud product mal,negativo,negativo
cubre suficiente aceptable necesidades mínimas,neutro,"['cubr', 'suficient', 'acept', 'neces', 'minim']",cubr suficient acept neces minim,neutro,neutro
expectativas bajo rendimiento defraudado patético,negativo,"['expect', 'baj', 'rendimient', 'defraud', 'patet']",expect baj rendimient defraud patet,negativo,negativo
nada básico adecuado extraordinario propósito,neutro,"['basic', 'adecu', 'extraordinari', 'proposit']",basic adecu extraordinari proposit,neutro,neutro
producto mediocre lamentable caro sobrevalorado,negativo,"['product', 'mediocr', 'lament', 'car', 'sobrevalor']",product mediocr lament car sobrevalor,negativo,negativo
pasable muy emergencia sirve temporal solución,neutro,"['pasabl', 'emergent', 'sirv', 'temporal', 'solucion']",pasabl emergent sirv temporal solucion,neutro,neutro
producto mediocre sobrevalorado caro lamentable,negativo,"['product', 'mediocr', 'sobrevalor', 'car', 'lament']",product mediocr sobrevalor car lament,negativo,negativo
regular calidad mercado promedio estándar,neutro,"['regul', 'calid', 'merc', 'promedi', 'estand']",regul calid merc promedi estand,neutro,neutro
tiempo recomiendo dinero pérdida no,negativo,"['tiemp', 'recom', 'diner', 'perd']",tiemp recom diner perd,negativo,negativo
feliz supera descripción extraordinario compra muy,positivo,"['feliz', 'super', 'descripcion', 'extraordinari', 'compr']",feliz super descripcion extraordinari compr,positivo,positivo
producto mediocre lamentable caro sobrevalorado,negativo,"['product', 'mediocr', 'lament', 'car', 'sobrevalor']",product mediocr lament car sobrevalor,negativo,negativo
engañosa publicidad no cumple decepcionante promete,negativo,"['engañ', 'public', 'cumpl', 'decepcion', 'promet']",engañ public cumpl decepcion promet,negativo,negativo
fácil rompe construcción endeble espantoso calidad,negativo,"['facil', 'romp', 'construccion', 'endebl', 'espant', 'calid']",facil romp construccion endebl espant calid,negativo,negativo
lujos simple funcional básico sin,neutro,"['luj', 'simpl', 'funcional', 'basic']",luj simpl funcional basic,neutro,neutro
mínimas aceptable necesidades totalmente suficiente cubre,neutro,"['minim', 'acept', 'neces', 'total', 'suficient', 'cubr']",minim acept neces total suficient cubr,neutro,neutro
frágil construcción materiales baratos sin duda pobre,negativo,"['fragil', 'construccion', 'material', 'barat', 'dud', 'pobr']",fragil construccion material barat dud pobr,negativo,negativo
pérdida tiempo dinero recomiendo no,negativo,"['perd', 'tiemp', 'diner', 'recom']",perd tiemp diner recom,negativo,negativo
promedio muy ni ni bueno malo,neutro,"['promedi', 'buen', 'mal']",promedi buen mal,neutro,neutro
ciertamente estado tiempo perfecto recomiendo llegó buenísimo,positivo,"['ciert', 'tiemp', 'perfect', 'recom', 'lleg', 'buenisim']",ciert tiemp perfect recom lleg buenisim,positivo,positivo
vale calidad ciertamente maravilloso inversión pena alta,positivo,"['val', 'calid', 'ciert', 'maravill', 'inversion', 'pen', 'alta']",val calid ciert maravill inversion pen alta,positivo,positivo
desproporcionado precio totalmente injusto calidad inaceptable,negativo,"['desproporcion', 'preci', 'total', 'injust', 'calid', 'inacept']",desproporcion preci total injust calid inacept,negativo,negativo
simple funcional básico sin lujos,neutro,"['simpl', 'funcional', 'basic', 'luj']",simpl funcional basic luj,neutro,neutro
mediano gama desempeño media esperado,neutro,"['median', 'gam', 'desempeñ', 'medi', 'esper']",median gam desempeñ medi esper,neutro,neutro
gama media esperado mediano desempeño,neutro,"['gam', 'medi', 'esper', 'median', 'desempeñ']",gam medi esper median desempeñ,neutro,neutro
producto mediocre sobrevalorado caro lamentable,negativo,"['product', 'mediocr', 'sobrevalor', 'car', 'lament']",product mediocr sobrevalor car lament,negativo,negativo
inútil malo desastroso incómodo diseño,negativo,"['inutil', 'mal', 'desastr', 'incomod', 'diseñ']",inutil mal desastr incomod diseñ,negativo,negativo
cliente atención realmente servicio nulo deplorable,negativo,"['client', 'atencion', 'realment', 'servici', 'nul', 'deplor']",client atencion realment servici nul deplor,negativo,negativo
sin funciona particular definitivamente problemas decente,neutro,"['funcion', 'particul', 'definit', 'problem', 'decent']",funcion particul definit problem decent,neutro,neutro
formidable cumple bastante promesas honesto vendedor,positivo,"['formid', 'cumpl', 'bastant', 'promes', 'honest', 'vendedor']",formid cumpl bastant promes honest vendedor,positivo,positivo
uso decepcionante calidad primer rompió muy mala,negativo,"['uso', 'decepcion', 'calid', 'prim', 'romp', 'mal']",uso decepcion calid prim romp mal,negativo,negativo
producto nada está cumple bien totalmente especial,neutro,"['product', 'cumpl', 'bien', 'total', 'especial']",product cumpl bien total especial,neutro,neutro
cumple genial perfectamente funciones satisfecho,positivo,"['cumpl', 'genial', 'perfect', 'funcion', 'satisfech']",cumpl genial perfect funcion satisfech,positivo,positivo
está ok bastante malas buenas tiene cosas,neutro,"['bastant', 'mal', 'buen', 'cos']",bastant mal buen cos,neutro,neutro
sensacional mejor completamente inversión ampliamente recomiendo hecho,positivo,"['sensacional', 'mejor', 'complet', 'inversion', 'ampli', 'recom', 'hech']",sensacional mejor complet inversion ampli recom hech,positivo,positivo
increíble servicio rápido bien empaquetado perfecto,positivo,"['increibl', 'servici', 'rap', 'bien', 'empaquet', 'perfect']",increibl servici rap bien empaquet perfect,positivo,positivo
pobre construcción materiales sin duda baratos frágil,negativo,"['pobr', 'construccion', 'material', 'dud', 'barat', 'fragil']",pobr construccion material dud barat fragil,negativo,negativo
aunque más completo algo aceptable realmente esperaba,neutro,"['aunqu', 'complet', 'acept', 'realment', 'esper']",aunqu complet acept realment esper,neutro,neutro
fantástico mejor volveré sin duda año definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'dud', 'año', 'definit', 'compr']",fantast mejor volv dud año definit compr,positivo,positivo
bien increíble rápido bastante perfecto servicio empaquetado,positivo,"['bien', 'increibl', 'rap', 'bastant', 'perfect', 'servici', 'empaquet']",bien increibl rap bastant perfect servici empaquet,positivo,positivo
realmente patético expectativas rendimiento defraudado bajo,negativo,"['realment', 'patet', 'expect', 'rendimient', 'defraud', 'baj']",realment patet expect rendimient defraud baj,negativo,negativo
construcción pobre materiales frágil baratos,negativo,"['construccion', 'pobr', 'material', 'fragil', 'barat']",construccion pobr material fragil barat,negativo,negativo
lujos sin básico sin duda funcional simple,neutro,"['luj', 'basic', 'dud', 'funcional', 'simpl']",luj basic dud funcional simpl,neutro,neutro
está ok malas tiene buenas cosas,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
fácil rompe construcción endeble espantoso calidad,negativo,"['facil', 'romp', 'construccion', 'endebl', 'espant', 'calid']",facil romp construccion endebl espant calid,negativo,negativo
correcto pagado realmente precio razonable para,neutro,"['correct', 'pag', 'realment', 'preci', 'razon']",correct pag realment preci razon,neutro,neutro
cumple producto especial está muy bien nada,neutro,"['cumpl', 'product', 'especial', 'bien']",cumpl product especial bien,neutro,neutro
básico propósito extraordinario adecuado nada,neutro,"['basic', 'proposit', 'extraordinari', 'adecu']",basic proposit extraordinari adecu,neutro,neutro
ok malas completamente buenas está cosas tiene,neutro,"['mal', 'complet', 'buen', 'cos']",mal complet buen cos,neutro,neutro
destacable sin cumple descripción más,neutro,"['destac', 'cumpl', 'descripcion']",destac cumpl descripcion,neutro,neutro
básico nada propósito extraordinario adecuado,neutro,"['basic', 'proposit', 'extraordinari', 'adecu']",basic proposit extraordinari adecu,neutro,neutro
vida compra peor arrepentido nefasto,negativo,"['vid', 'compr', 'peor', 'arrepent', 'nefast']",vid compr peor arrepent nefast,negativo,negativo
genial perfectamente cumple funciones satisfecho,positivo,"['genial', 'perfect', 'cumpl', 'funcion', 'satisfech']",genial perfect cumpl funcion satisfech,positivo,positivo
solución uso problema perfecto diario brillante,positivo,"['solucion', 'uso', 'problem', 'perfect', 'diari', 'brillant']",solucion uso problem perfect diari brillant,positivo,positivo
muy superó compra satisfecho expectativas,positivo,"['super', 'compr', 'satisfech', 'expect']",super compr satisfech expect,positivo,positivo
fácil rompe construcción endeble bastante espantoso calidad,negativo,"['facil', 'romp', 'construccion', 'endebl', 'bastant', 'espant', 'calid']",facil romp construccion endebl bastant espant calid,negativo,negativo
promedio muy malo ni bueno ni,neutro,"['promedi', 'mal', 'buen']",promedi mal buen,neutro,neutro
regular calidad estándar mercado promedio,neutro,"['regul', 'calid', 'estand', 'merc', 'promedi']",regul calid estand merc promedi,neutro,neutro
impresionante nada común ordinario corriente,neutro,"['impresion', 'comun', 'ordinari', 'corrient']",impresion comun ordinari corrient,neutro,neutro
descripción feliz extraordinario supera muy compra,positivo,"['descripcion', 'feliz', 'extraordinari', 'super', 'compr']",descripcion feliz extraordinari super compr,positivo,positivo
malas está ok buenas cosas tiene,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
pobre construcción frágil materiales baratos,negativo,"['pobr', 'construccion', 'fragil', 'material', 'barat']",pobr construccion fragil material barat,negativo,negativo
estándar mercado bastante calidad promedio regular,neutro,"['estand', 'merc', 'bastant', 'calid', 'promedi', 'regul']",estand merc bastant calid promedi regul,neutro,neutro
materiales pobre baratos construcción frágil,negativo,"['material', 'pobr', 'barat', 'construccion', 'fragil']",material pobr barat construccion fragil,negativo,negativo
simple lujos básico funcional sin,neutro,"['simpl', 'luj', 'basic', 'funcional']",simpl luj basic funcional,neutro,neutro
malísimo mal desde defectuoso sin duda inicio funciona,negativo,"['malisim', 'mal', 'defectu', 'dud', 'inici', 'funcion']",malisim mal defectu dud inici funcion,negativo,negativo
sin duda experiencia aquí más terrible nunca compraré,negativo,"['dud', 'experient', 'aqu', 'terribl', 'nunc', 'compr']",dud experient aqu terribl nunc compr,negativo,negativo
razonable precio correcto para pagado,neutro,"['razon', 'preci', 'correct', 'pag']",razon preci correct pag,neutro,neutro
completamente cumple sin destacable descripción más,neutro,"['complet', 'cumpl', 'destac', 'descripcion']",complet cumpl destac descripcion,neutro,neutro
básica normal cumple esperada función,neutro,"['basic', 'normal', 'cumpl', 'esper', 'funcion']",basic normal cumpl esper funcion,neutro,neutro
destacable más sin cumple descripción,neutro,"['destac', 'cumpl', 'descripcion']",destac cumpl descripcion,neutro,neutro
promedio muy malo ni bueno ni,neutro,"['promedi', 'mal', 'buen']",promedi mal buen,neutro,neutro
ciertamente premium magnífico producto excepcional calidad,positivo,"['ciert', 'premium', 'magnif', 'product', 'excepcional', 'calid']",ciert premium magnif product excepcional calid,positivo,positivo
insuperable estupendo relación precio calidad,positivo,"['insuper', 'estupend', 'relacion', 'preci', 'calid']",insuper estupend relacion preci calid,positivo,positivo
está ok malas buenas tiene cosas,neutro,"['mal', 'buen', 'cos']",mal buen cos,neutro,neutro
esperaba más aceptable algo completo aunque,neutro,"['esper', 'acept', 'complet', 'aunqu']",esper acept complet aunqu,neutro,neutro
tiene está buenas cosas malas ok,neutro,"['buen', 'cos', 'mal']",buen cos mal,neutro,neutro
satisfecho expectativas compra muy superó,positivo,"['satisfech', 'expect', 'compr', 'super']",satisfech expect compr super,positivo,positivo
descripción horrible estafa nada total,negativo,"['descripcion', 'horribl', 'estaf', 'total']",descripcion horribl estaf total,negativo,negativo
pasable temporal solución sirve definitivamente emergencia,neutro,"['pasabl', 'temporal', 'solucion', 'sirv', 'definit', 'emergent']",pasabl temporal solucion sirv definit emergent,neutro,neutro
uso problema perfecto ciertamente diario brillante solución,positivo,"['uso', 'problem', 'perfect', 'ciert', 'diari', 'brillant', 'solucion']",uso problem perfect ciert diari brillant solucion,positivo,positivo
honesto promesas vendedor cumple formidable,positivo,"['honest', 'promes', 'vendedor', 'cumpl', 'formid']",honest promes vendedor cumpl formid,positivo,positivo
lujos simple básico realmente sin funcional,neutro,"['luj', 'simpl', 'basic', 'realment', 'funcional']",luj simpl basic realment funcional,neutro,neutro
cumple básica esperada muy función normal,neutro,"['cumpl', 'basic', 'esper', 'funcion', 'normal']",cumpl basic esper funcion normal,neutro,neutro
sin decente realmente problemas particular funciona,neutro,"['decent', 'realment', 'problem', 'particul', 'funcion']",decent realment problem particul funcion,neutro,neutro
pobre construcción frágil materiales totalmente baratos,negativo,"['pobr', 'construccion', 'fragil', 'material', 'total', 'barat']",pobr construccion fragil material total barat,negativo,negativo
producto completamente especial nada bien está cumple,neutro,"['product', 'complet', 'especial', 'bien', 'cumpl']",product complet especial bien cumpl,neutro,neutro
especial producto bien está nada cumple,neutro,"['especial', 'product', 'bien', 'cumpl']",especial product bien cumpl,neutro,neutro
rápido increíble perfecto servicio bien empaquetado,positivo,"['rap', 'increibl', 'perfect', 'servici', 'bien', 'empaquet']",rap increibl perfect servici bien empaquet,positivo,positivo
peor vida definitivamente nefasto arrepentido compra,negativo,"['peor', 'vid', 'definit', 'nefast', 'arrepent', 'compr']",peor vid definit nefast arrepent compr,negativo,negativo
producto especial cumple nada absolutamente está bien,neutro,"['product', 'especial', 'cumpl', 'absolut', 'bien']",product especial cumpl absolut bien,neutro,neutro
funciona sin particular decente problemas,neutro,"['funcion', 'particul', 'decent', 'problem']",funcion particul decent problem,neutro,neutro
horrible total nada muy descripción estafa,negativo,"['horribl', 'total', 'descripcion', 'estaf']",horribl total descripcion estaf,negativo,negativo
elegante práctico diseño fabuloso completamente funcional,positivo,"['eleg', 'practic', 'diseñ', 'fabul', 'complet', 'funcional']",eleg practic diseñ fabul complet funcional,positivo,positivo
honesto vendedor formidable promesas cumple,positivo,"['honest', 'vendedor', 'formid', 'promes', 'cumpl']",honest vendedor formid promes cumpl,positivo,positivo
imitación fraudulento producto falsificado barata,negativo,"['imit', 'fraudulent', 'product', 'falsific', 'barat']",imit fraudulent product falsific barat,negativo,negativo
esperado deficiente calidad inferior basura,negativo,"['esper', 'deficient', 'calid', 'inferior', 'basur']",esper deficient calid inferior basur,negativo,negativo
ni ni bueno malo muy promedio,neutro,"['buen', 'mal', 'promedi']",buen mal promedi,neutro,neutro
básica cumple normal esperada función,neutro,"['basic', 'cumpl', 'normal', 'esper', 'funcion']",basic cumpl normal esper funcion,neutro,neutro
producto caro lamentable mediocre sobrevalorado,negativo,"['product', 'car', 'lament', 'mediocr', 'sobrevalor']",product car lament mediocr sobrevalor,negativo,negativo
más cumple destacable descripción sin,neutro,"['cumpl', 'destac', 'descripcion']",cumpl destac descripcion,neutro,neutro
correcto para razonable precio pagado,neutro,"['correct', 'razon', 'preci', 'pag']",correct razon preci pag,neutro,neutro
definitivamente brillante solución problema perfecto uso diario,positivo,"['definit', 'brillant', 'solucion', 'problem', 'perfect', 'uso', 'diari']",definit brillant solucion problem perfect uso diari,positivo,positivo
defraudado rendimiento expectativas patético bajo,negativo,"['defraud', 'rendimient', 'expect', 'patet', 'baj']",defraud rendimient expect patet baj,negativo,negativo
común ordinario corriente impresionante nada,neutro,"['comun', 'ordinari', 'corrient', 'impresion']",comun ordinari corrient impresion,neutro,neutro
resistente increíblemente confiable bueno duradero,positivo,"['resistent', 'increibl', 'confiabl', 'buen', 'durader']",resistent increibl confiabl buen durader,positivo,positivo
muy sin duda compra sirve insatisfecho no propósito,negativo,"['dud', 'compr', 'sirv', 'insatisfech', 'proposit']",dud compr sirv insatisfech proposit,negativo,negativo
fraudulento barata falsificado producto imitación,negativo,"['fraudulent', 'barat', 'falsific', 'product', 'imit']",fraudulent barat falsific product imit,negativo,negativo
bueno confiable resistente duradero sin duda increíblemente,positivo,"['buen', 'confiabl', 'resistent', 'durader', 'dud', 'increibl']",buen confiabl resistent durader dud increibl,positivo,positivo
descripción muy compra feliz sin duda extraordinario supera,positivo,"['descripcion', 'compr', 'feliz', 'dud', 'extraordinari', 'super']",descripcion compr feliz dud extraordinari super,positivo,positivo
realmente impresionante común nada corriente ordinario,neutro,"['realment', 'impresion', 'comun', 'corrient', 'ordinari']",realment impresion comun corrient ordinari,neutro,neutro
promedio ni sin duda muy malo ni bueno,neutro,"['promedi', 'dud', 'mal', 'buen']",promedi dud mal buen,neutro,neutro
definitivamente rendimiento defraudado expectativas patético bajo,negativo,"['definit', 'rendimient', 'defraud', 'expect', 'patet', 'baj']",definit rendimient defraud expect patet baj,negativo,negativo
fantástico mejor volveré año definitivamente compra,positivo,"['fantast', 'mejor', 'volv', 'año', 'definit', 'compr']",fantast mejor volv año definit compr,positivo,positivo
perfecto problema realmente diario brillante uso solución,positivo,"['perfect', 'problem', 'realment', 'diari', 'brillant', 'uso', 'solucion']",perfect problem realment diari brillant uso solucion,positivo,positivo
esperaba más algo aunque aceptable completo,neutro,"['esper', 'aunqu', 'acept', 'complet']",esper aunqu acept complet,neutro,neutro
estafa horrible nada total descripción,negativo,"['estaf', 'horribl', 'total', 'descripcion']",estaf horribl total descripcion,negativo,negativo
calidad excelente muy precio producto totalmente recomiendo,positivo,"['calid', 'excelent', 'preci', 'product', 'total', 'recom']",calid excelent preci product total recom,positivo,positivo
cumple definitivamente sin destacable descripción más,neutro,"['cumpl', 'definit', 'destac', 'descripcion']",cumpl definit destac descripcion,neutro,neutro
servicio cliente atención deplorable nulo,negativo,"['servici', 'client', 'atencion', 'deplor', 'nul']",servici client atencion deplor nul,negativo,negativo
desproporcionado calidad definitivamente injusto inaceptable precio,negativo,"['desproporcion', 'calid', 'definit', 'injust', 'inacept', 'preci']",desproporcion calid definit injust inacept preci,negativo,negativo
durabilidad impresionante calidad construcción excelente,positivo,"['durabil', 'impresion', 'calid', 'construccion', 'excelent']",durabil impresion calid construccion excelent,positivo,positivo
producto especial ciertamente cumple está nada bien,neutro,"['product', 'especial', 'ciert', 'cumpl', 'bien']",product especial ciert cumpl bien,neutro,neutro
volveré sin duda comprar definitivamente tremendamente satisfecho,positivo,"['volv', 'dud', 'compr', 'definit', 'tremend', 'satisfech']",volv dud compr definit tremend satisfech,positivo,positivo
aquí nunca terrible compraré experiencia más,negativo,"['aqu', 'nunc', 'terribl', 'compr', 'experient']",aqu nunc terribl compr experient,negativo,negativo
fraudulento producto falsificado imitación barata,negativo,"['fraudulent', 'product', 'falsific', 'imit', 'barat']",fraudulent product falsific imit barat,negativo,negativo
pésimo producto mal funciona realmente hecho no,negativo,"['pesim', 'product', 'mal', 'funcion', 'realment', 'hech']",pesim product mal funcion realment hech,negativo,negativo
ciertamente totalmente excelente recomiendo calidad producto precio,positivo,"['ciert', 'total', 'excelent', 'recom', 'calid', 'product', 'preci']",ciert total excelent recom calid product preci,positivo,positivo
